Ticker,Chart Link,Company,Sector,Price,Market Cap,Revenue Growth %,EPS Growth %,3M Momentum %,Pullback 1M %,RSI,MA50,MA200,Above MA50,Above MA200,MA50 > MA200,Entry Setup,High Conviction Dip Buy,News Sentiment Score,News Sentiment Label,News Headlines Count,Top News Headlines,P/E,Forward P/E,Free Cash Flow,Debt to Equity,ROE %,Profit Margin %,Score,Signal
MNST,https://www.tradingview.com/chart/?symbol=MNST,Monster Beverage Corporation,Consumer Defensive,88.31,86367895552,26.9,28.9,8.94,14.51,59.97,79.2,74.47,True,True,True,BULLISH TREND,False,67.64,POSITIVE,5,Hedge Fund Broadwood Capital Added Over 1 Million Shares of STAAR Surgical to Its Position. Here's What That Means for Investors. | FMX or MNST: Which Is the Better Value Stock Right Now? | Walmart’s Pullback Has Created a Compelling Technical Setup,42.66,34.16,1684340480.0,1.082,26.65,23.11,77.51,BUY SIGNAL
PWR,https://www.tradingview.com/chart/?symbol=PWR,"Quanta Services, Inc.",Industrials,695.58,104378834944,26.3,51.0,21.49,-6.28,30.43,657.23,504.01,True,True,True,BUY THE DIP,False,50.64,NEUTRAL,5,The Boring Sector Quietly Powering the Entire AI Revolution | Will MasTec's Turnkey Strategy Unlock More Data Center Deals? | Sterling and Data Centers: The Integrated Buildout Trade,95.42,42.3,1037176768.0,69.121,13.53,3.67,77.3,BUY SIGNAL
CAT,https://www.tradingview.com/chart/?symbol=CAT,Caterpillar Inc.,Industrials,904.155,416555794432,22.2,30.2,20.44,1.65,48.35,822.1,638.36,True,True,True,BULLISH TREND,False,54.61,NEUTRAL,5,"Top Midday Stories: Marvell Next Trillion-Dollar Firm, Nvidia CEO Reportedly Says; Anthropic Expands Mythos Access to 150 New Partners | US Lowers Tariffs on Farm, Industrial Equipment as Costs Soar | Major Indexes Head for 5th Straight Record Closes",45.04,30.16,3776624896.0,230.793,51.33,13.33,77.22,BUY SIGNAL
APH,https://www.tradingview.com/chart/?symbol=APH,Amphenol Corporation,Technology,148.07,182160834560,58.4,24.1,9.77,4.05,69.62,136.59,133.67,True,True,True,BULLISH TREND,False,53.27,NEUTRAL,5,ChatGPT Says You Should Buy Amphenol (APH) – ‘A Cleaner Way to Ride AI CapEx’ | Is Amphenol Stock Outperforming the Nasdaq? | PLAB Q2 Earnings Miss on Delayed Semiconductor Design Releases,42.55,26.28,3563725056.0,133.051,36.83,17.24,77.11,BUY SIGNAL
FRT,https://www.tradingview.com/chart/?symbol=FRT,Federal Realty Investment Trust,Real Estate,119.615,10396744704,10.3,152.5,9.57,3.72,64.92,111.86,102.12,True,True,True,BULLISH TREND,False,66.65,POSITIVE,5,"Microsoft initiated, Dell upgraded: Wall Street's top analyst calls | Here Are Monday’s Top Wall Street Analyst Research Calls: Accenture, Caesars Entertainment, Carnival, Dell Technologies, IBM, Kohl’s, Microsoft, Zscaler, and More | BofA Raises Target on Federal Realty Investment Trust (FRT) after Reviewing Market Conditions",20.73,38.57,448925248.0,138.432,14.78,38.57,77.03,BUY SIGNAL
DVA,https://www.tradingview.com/chart/?symbol=DVA,DaVita Inc.,Healthcare,189.415,12157601792,6.0,43.5,23.01,24.9,35.33,168.42,138.48,True,True,True,BULLISH TREND,False,67.83,POSITIVE,5,Best Growth Stocks to Buy for June 2nd | DaVita and Arcosa have been highlighted as Zacks Bull and Bear of the Day | Bull of the Day: DaVita Inc. (DVA),18.25,11.02,999662976.0,1261.331,80.98,5.65,76.23,BUY SIGNAL
CDNS,https://www.tradingview.com/chart/?symbol=CDNS,"Cadence Design Systems, Inc.",Technology,405.915,111973408768,18.7,23.0,33.82,19.07,69.98,326.96,323.7,True,True,True,BULLISH TREND,False,64.22,POSITIVE,5,The AI Double-Tap That Lit Up Cadence | A Look At Cadence Design Systems (CDNS) Valuation After ChipStack AI Super Agent Level 5 Autonomy Announcement | Jim Cramer Won't Recommend Mortgage Stocks Because 'I Never Know What They Really Own' — But He Loves Intel's 'Burgeoning Packaging Division',94.19,43.26,1499152256.0,46.992,20.66,21.18,75.69,BUY SIGNAL
GEN,https://www.tradingview.com/chart/?symbol=GEN,Gen Digital Inc.,Technology,27.095,16322945024,27.0,265.2,21.88,40.63,83.76,20.95,24.76,True,True,False,WATCH - OVERBOUGHT,False,61.97,POSITIVE,5,"GE Vernova (GEV): Argus Raises Its Target to $1,300 After a Blowout Quarter | Gen Digital Bets On AI Browser Security To Support Norton Ecosystem | Gen Digital Inc. Q4 2026 Earnings Call Summary",17.26,8.24,1422249984.0,316.354,39.88,19.46,75.56,BUY SIGNAL
ASML,https://www.tradingview.com/chart/?symbol=ASML,ASML Holding N.V.,Technology,1689.0,650970464256,13.2,19.2,18.91,18.36,67.21,1466.89,1200.84,True,True,True,BULLISH TREND,False,63.39,POSITIVE,5,"‘We’re in the First or Second Inning’ of AI Revolution, Says Top Analyst | ASML And Tata Electronics Expand India Chip Ambitions And Investor Story | ASML Holding N.V. (ASML): Leopold Aschenbrenner Reveals New Position",56.06,35.29,8243274752.0,12.989,52.24,29.71,74.62,WATCHLIST
NEM,https://www.tradingview.com/chart/?symbol=NEM,Newmont Corporation,Basic Materials,109.25,116630142976,45.8,78.6,-14.76,0.81,34.79,111.06,100.16,False,True,True,NO CLEAR ENTRY,False,54.22,NEUTRAL,5,Newmont Corporation (NEM) Is a Trending Stock: Facts to Know Before Betting on It | This Gold Stock Under $30 Is The Pivot Away From Historically Overvalued Tech | Newmont’s 2025 ESG Reports Inform Safety And Valuation Considerations,14.17,9.58,9804874752.0,15.762,25.83,33.87,74.39,WATCHLIST
KLAC,https://www.tradingview.com/chart/?symbol=KLAC,KLA Corporation,Technology,2010.56,262634471424,11.5,11.8,31.15,16.62,64.8,1749.33,1356.15,True,True,True,BULLISH TREND,False,67.03,POSITIVE,5,NVTS Stock: What the Neutral Stance Means at Today's Valuation | Top 5 Stocks That Will Ride the Data Center Chip Equipment Supercycle | KLA (KLAC) Up 10.1% Since Last Earnings Report: Can It Continue?,56.94,40.33,2890187008.0,105.4,94.98,35.66,74.01,WATCHLIST
FTNT,https://www.tradingview.com/chart/?symbol=FTNT,"Fortinet, Inc.",Technology,146.37,107237736448,20.1,28.6,84.86,69.63,84.44,98.73,85.91,True,True,True,WATCH - OVERBOUGHT,False,66.51,POSITIVE,5,10 Overvalued Stocks Are Ticking Time Bombs In Your Portfolio | Fortinet vs. CrowdStrike: What Comparing Revenue Trends Tells Investors | Stocks Rally on Easing Geopolitical Tensions and AI Enthusiasm,56.95,42.72,1813049984.0,57.31,132.39,27.49,73.92,WATCHLIST
DDOG,https://www.tradingview.com/chart/?symbol=DDOG,"Datadog, Inc.",Technology,271.82,96757104640,32.2,104.0,144.64,93.42,86.8,158.98,145.36,True,True,True,WATCH - OVERBOUGHT,False,63.68,POSITIVE,5,"Stock Index Futures Muted as Investors Parse Middle East Developments, U.S. JOLTS Report in Focus | Datadog FedRAMP High Win Puts Government Growth Story In Focus | Datadog (DDOG) Shares Skyrocket, What You Need To Know",696.97,95.51,936726528.0,32.221,3.93,3.69,73.84,WATCHLIST
ROK,https://www.tradingview.com/chart/?symbol=ROK,"Rockwell Automation, Inc.",Industrials,459.24,51101450240,11.9,39.6,11.77,13.06,53.39,411.65,384.07,True,True,True,BULLISH TREND,False,66.42,POSITIVE,5,"DKILY or ROK: Which Is the Better Value Stock Right Now? | Hubbell, Rockwell Automation, and First Solar Shares Skyrocket, What You Need To Know | Assessing Rockwell Automation (ROK) Valuation After Recent Share Price Momentum And Planned US$2b Investment",47.64,31.64,974499968.0,113.367,27.18,12.36,73.81,WATCHLIST
TEL,https://www.tradingview.com/chart/?symbol=TEL,TE Connectivity plc,Technology,214.125,62502191104,14.5,7150.0,1.4,3.63,51.48,212.83,219.87,True,False,False,NO CLEAR ENTRY,False,61.83,POSITIVE,5,The Bull Case For TE Connectivity (TEL) Could Change Following Record Q2 EPS Beat And Broad-Based Growth | Why Is TE Connectivity (TEL) Down 7% Since Last Earnings Report? | Do Wall Street Analysts Like TE Connectivity Stock?,21.87,16.94,2322249984.0,43.798,22.72,15.54,73.8,WATCHLIST
